label,param,value,step,f1,logp,acc
warmup_pg=10,warmup_pg,10.0,4500,0.867078603247593,-32.877723528235805,0.19078125
warmup_pg=10,warmup_pg,10.0,4600,0.8682281937059922,-32.81741683123914,0.17265625
warmup_pg=10,warmup_pg,10.0,4700,0.8675287356321839,-32.731093802739494,0.188125
warmup_pg=10,warmup_pg,10.0,4800,0.8672795173800631,-32.603893498192306,0.20734375
warmup_pg=10,warmup_pg,10.0,4900,0.8669540229885058,-32.59282469450915,0.19578125
warmup_pg=10,warmup_pg,10.0,5000,0.8673660008621928,-32.58042416980119,0.189375
warmup_pg=10,warmup_pg,10.0,5100,0.8676533984767927,-32.57677184032265,0.19234375
warmup_pg=10,warmup_pg,10.0,5200,0.8682281937059922,-32.49128407389015,0.20125
warmup_pg=10,warmup_pg,10.0,5300,0.8672032193158954,-32.475729597233865,0.21453125
warmup_pg=10,warmup_pg,10.0,5400,0.867902831680322,-32.48294920311935,0.19359375
warmup_pg=10,warmup_pg,10.0,5500,0.8682772505033074,-32.49550978105114,0.21046875
warmup_pg=10,warmup_pg,10.0,5600,0.8684513529073115,-32.4404954302296,0.1996875
warmup_pg=10,warmup_pg,10.0,5700,0.8682393555811277,-32.451650049944895,0.185
warmup_pg=10,warmup_pg,10.0,5800,0.8681524083393243,-32.431888740742394,0.17328125
warmup_pg=10,warmup_pg,10.0,5900,0.8676639815880323,-32.41037984081325,0.17
warmup_pg=10,warmup_pg,10.0,6000,0.8688147295742232,-32.37321877457117,0.19265625
warmup_pg=10,warmup_pg,10.0,6100,0.8683151236342725,-32.33766707187513,0.17875
warmup_pg=10,warmup_pg,10.0,6200,0.8688029889351918,-32.33104560043925,0.1840625
warmup_pg=10,warmup_pg,10.0,6300,0.8687275341480949,-32.342889771559776,0.18640625
warmup_pg=10,warmup_pg,10.0,6400,0.8693525179856115,-32.31970828865439,0.18453125
warmup_pg=10,warmup_pg,10.0,6500,0.8693901035673187,-32.323686917505704,0.165625
warmup_pg=10,warmup_pg,10.0,6600,0.8686141890919556,-32.308054313167474,0.1709375
warmup_pg=10,warmup_pg,10.0,6700,0.8691400632729365,-32.30327425062497,0.2040625
warmup_pg=10,warmup_pg,10.0,6800,0.869102416570771,-32.31274162660384,0.173125
warmup_pg=10,warmup_pg,10.0,6900,0.8692650654393786,-32.31775721170148,0.1859375
warmup_pg=10,warmup_pg,10.0,7000,0.869102416570771,-32.32154466209963,0.18578125
warmup_pg=10,warmup_pg,10.0,7100,0.8688901667625072,-32.29783759723227,0.1815625
warmup_pg=10,warmup_pg,10.0,7200,0.8687275341480949,-32.30686053550763,0.166875
warmup_pg=10,warmup_pg,10.0,7300,0.8690150970524803,-32.28219430190979,0.18125
warmup_pg=10,warmup_pg,10.0,7400,0.8689020002878112,-32.28352795153762,0.1825
warmup_pg=10,warmup_pg,10.0,7500,0.8684892086330935,-32.27405252316914,0.18328125
warmup_pg=10,warmup_pg,10.0,7600,0.8687769784172662,-32.267742729486756,0.16859375
warmup_pg=10,warmup_pg,10.0,7700,0.8682884698430977,-32.27992860201291,0.17984375
warmup_pg=10,warmup_pg,10.0,7800,0.8687769784172662,-32.27175525406494,0.1790625
warmup_pg=10,warmup_pg,10.0,7900,0.8682884698430977,-32.269927707287785,0.1746875
warmup_pg=10,warmup_pg,10.0,8000,0.8689893463864095,-32.276649446896606,0.17671875
warmup_pg=10,warmup_pg,10.0,8100,0.8689893463864095,-32.23867132058686,0.1746875
warmup_pg=10,warmup_pg,10.0,8200,0.8690647482014389,-32.24597255796297,0.17015625
warmup_pg=10,warmup_pg,10.0,8300,0.8684021285775924,-32.21354184355501,0.18625
warmup_pg=10,warmup_pg,10.0,8400,0.8688147295742232,-32.21200176308089,0.19015625
warmup_pg=10,warmup_pg,10.0,8500,0.8688147295742232,-32.21537336221358,0.1890625
warmup_pg=10,warmup_pg,10.0,8600,0.8694276675294794,-32.22089455507701,0.1775
warmup_pg=10,warmup_pg,10.0,8700,0.8699654775604143,-32.221762201177654,0.22703125
warmup_pg=10,warmup_pg,10.0,8800,0.8695151776722774,-32.09596763568099,0.19140625
warmup_pg=10,warmup_pg,10.0,8900,0.8703410562670888,-32.10185561826092,0.2
warmup_pg=10,warmup_pg,10.0,9000,0.8698906160046056,-32.111286523505846,0.19703125
warmup_pg=10,warmup_pg,10.0,9100,0.8699280575539569,-32.12275850451315,0.19109375
warmup_pg=10,warmup_pg,10.0,9200,0.8698403566805696,-32.12559445241195,0.19921875
warmup_pg=10,warmup_pg,10.0,9300,0.870253164556962,-32.10562938268164,0.1815625
warmup_pg=10,warmup_pg,10.0,9400,0.8705408515535098,-32.11427315910558,0.17140625
