step,pseudo_logp,pseudo_k
11720,-234.61662081376545,55.0
11740,-240.57584881680555,56.0
11760,-234.51448095383574,41.0
11780,-229.77578610795217,43.0
11800,-246.80363977697897,44.0
11820,-236.5681842142959,57.0
11840,-221.85724694402876,59.0
11860,-228.57529540534657,55.0
11880,-232.41621091176674,43.0
11900,-224.18313265198614,29.0
11920,-223.56171742141464,33.0
11940,-221.5564189485112,27.0
11960,-226.9848542774247,34.0
11980,-226.46532092288098,29.0
